HiddenDim,Loss,Accuracy
64,0.634913980960846,0.6296250224113464
128,0.6506208777427673,0.6156250238418579
256,0.6624985337257385,0.624875009059906
512,0.70591801404953,0.621874988079071
1024,0.6544016599655151,0.6153749823570251
