LearningRate,BatchSize,Loss,Accuracy
1e-05,8,0.6439393162727356,0.6326249837875366
1e-05,16,0.6350246667861938,0.6227499842643738
1e-05,32,0.6425099968910217,0.6265000104904175
2e-05,8,0.6420437097549438,0.6273750066757202
2e-05,16,0.910495400428772,0.621749997138977
2e-05,32,0.6827182769775391,0.6233749985694885
